SA2_MAINCODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
101021007,14,30,90,127,154,152,39,12,3,609,17,5,10,19,43,46,46,10,3,205,0,3,5,3,3,7,4,0,0,35,3,7,3,5,10,3,0,3,0,37,38,37,104,155,206,213,91,33,5,888,4,0,6,3,3,7,0,0,0,29,3,0,0,5,3,4,0,0,0,12,6,0,12,9,9,11,0,0,0,40,44,43,115,161,215,215,96,33,5,922,42,12,22,21,34,101,161,84,16,499,8,10,15,30,31,41,40,13,4,184,98,60,143,210,278,358,297,132,28,1607,3,13,44,76,105,91,27,0,0,355,22,15,41,65,91,89,30,7,0,358,0,0,9,15,3,3,0,0,0,36,0,0,0,0,5,3,0,3,0,9,29,31,98,150,198,183,56,10,3,765,0,3,3,3,0,3,0,0,0,15,3,0,3,0,0,8,5,0,0,22,3,3,4,3,3,6,5,0,0,31
101021008,50,143,378,401,409,268,49,0,0,1701,83,41,53,38,36,56,29,3,0,342,4,9,8,3,16,9,5,0,0,53,3,6,15,9,11,6,0,0,0,59,143,205,454,452,466,345,83,3,0,2154,10,16,16,10,6,11,0,0,0,69,12,6,6,3,3,4,0,0,0,37,28,22,21,18,13,10,4,0,0,104,170,225,476,473,480,357,85,3,0,2263,113,28,38,48,67,133,208,124,26,789,22,7,23,41,32,28,22,13,5,183,307,261,534,552,573,518,321,142,29,3236,29,121,247,259,313,173,18,0,0,1153,113,73,128,141,150,123,26,3,0,744,0,7,28,21,18,21,3,0,0,86,0,9,6,8,3,8,0,0,0,42,138,199,401,439,477,324,46,3,0,2029,8,5,8,9,10,4,0,0,0,43,21,5,12,13,6,4,0,0,0,60,27,9,19,15,15,8,0,0,0,101
101021009,29,183,720,554,468,287,48,4,0,2290,60,69,139,77,61,55,36,5,0,503,3,7,14,21,17,13,0,0,0,83,3,7,19,15,6,10,0,0,0,70,95,272,897,667,554,364,82,11,0,2947,3,18,39,37,21,15,3,0,0,135,9,9,15,6,5,5,4,0,0,44,18,18,51,36,28,23,6,0,0,185,109,292,947,710,579,387,87,12,0,3127,103,34,50,65,86,152,274,189,107,1067,13,21,103,61,54,37,33,24,9,349,221,346,1101,839,721,578,403,225,111,4545,25,186,475,336,367,181,26,0,0,1592,78,103,245,177,149,103,25,3,0,886,0,10,57,31,18,17,4,0,0,132,0,3,17,6,10,9,0,0,0,49,109,300,795,555,540,304,52,4,0,2659,5,16,20,9,12,0,0,0,0,67,7,7,24,14,4,5,0,0,0,61,14,16,45,22,17,4,0,0,0,124
101021010,17,110,320,242,240,157,30,0,0,1117,29,32,66,30,34,23,18,3,0,235,0,0,4,3,12,10,0,0,0,32,0,3,7,8,3,4,0,0,0,21,46,144,403,287,284,187,47,7,0,1407,5,7,11,15,14,4,0,0,0,52,3,0,4,3,3,3,0,0,0,17,13,10,10,13,14,7,0,0,0,70,57,150,416,305,302,199,47,9,0,1476,52,19,42,24,36,75,108,57,12,420,0,14,30,25,27,14,7,7,0,130,109,176,488,353,367,283,162,73,14,2025,10,82,212,162,179,110,11,3,0,763,50,46,106,56,70,60,12,4,0,400,3,3,29,9,6,4,0,0,0,58,0,0,3,3,8,0,0,0,0,17,61,135,343,231,264,177,27,4,0,1240,0,10,9,3,0,4,0,0,0,30,8,6,9,4,0,4,0,0,0,41,13,19,15,13,0,9,0,0,0,68
101021011,72,199,646,851,1055,618,119,13,0,3574,147,76,51,72,105,149,97,9,0,713,7,3,28,37,42,41,16,0,0,176,10,6,10,18,14,17,4,0,0,80,240,290,737,971,1220,821,236,27,0,4541,10,10,7,24,14,14,3,0,0,78,25,10,0,4,3,16,4,0,0,62,37,19,8,23,14,25,12,0,0,144,271,312,746,1000,1243,848,248,27,0,4685,271,30,42,37,69,285,453,182,35,1405,47,55,82,107,151,127,90,28,3,684,588,394,867,1141,1468,1263,788,227,36,6772,43,173,376,588,773,370,51,3,0,2390,192,110,204,350,363,251,74,3,0,1556,11,17,82,58,40,40,12,0,0,260,8,7,8,16,13,9,0,0,0,61,260,306,673,1012,1189,676,137,13,3,4269,9,7,9,14,12,6,0,0,0,60,24,10,3,6,8,13,3,0,0,58,25,15,11,21,17,21,5,0,0,120
101021012,67,180,532,745,963,401,49,0,3,2938,175,110,60,39,53,75,35,3,0,551,11,9,18,14,35,17,3,3,0,106,6,4,8,9,8,6,0,0,0,40,258,304,622,804,1060,495,87,5,3,3641,6,10,14,10,16,15,3,0,0,80,34,3,0,3,4,4,3,0,0,55,40,16,15,13,21,16,7,0,0,132,303,325,639,823,1084,509,91,5,3,3771,218,29,30,30,61,126,205,105,22,823,16,17,35,39,55,23,13,4,3,207,538,370,703,884,1192,658,310,120,26,4799,34,148,372,499,701,249,20,0,0,2026,218,129,170,314,269,129,29,3,0,1261,13,15,48,37,30,24,0,0,0,158,7,3,3,5,13,8,0,0,0,44,272,291,588,861,1018,408,49,3,0,3487,5,8,17,9,15,4,0,0,0,51,36,9,9,7,3,6,4,0,0,74,44,9,21,18,14,14,4,0,0,123
101031013,19,33,80,85,98,101,33,5,3,459,9,3,11,3,19,28,13,4,0,96,0,0,0,0,3,6,7,0,0,20,0,3,4,0,5,3,3,0,0,14,28,44,97,91,123,136,57,11,4,591,3,3,3,0,6,4,0,0,0,22,3,0,0,0,0,0,0,0,0,4,3,5,5,0,6,7,0,0,0,25,34,49,104,90,132,146,57,11,4,619,24,6,9,19,31,53,101,54,20,322,3,0,3,12,11,9,12,4,4,73,67,61,114,118,169,211,173,74,28,1014,6,19,31,41,56,51,20,0,0,212,23,8,38,36,51,43,18,0,0,232,0,0,6,3,3,10,5,0,0,22,0,0,0,3,3,3,0,0,0,5,29,29,73,81,112,106,43,0,0,470,0,0,3,4,0,5,0,0,0,10,3,0,3,4,0,4,0,0,0,9,3,3,5,3,0,8,0,0,0,21
101031014,40,77,213,198,252,210,46,3,0,1047,57,48,42,48,45,60,31,4,0,341,0,0,10,8,7,13,10,0,0,54,5,7,4,5,5,3,3,3,0,36,101,137,269,254,315,290,89,12,3,1476,8,10,16,11,11,12,0,0,0,67,3,4,0,4,0,0,3,0,0,19,11,13,15,10,13,12,7,0,0,79,111,152,288,265,322,308,94,12,3,1553,89,30,85,107,108,110,248,196,53,1031,8,13,26,23,33,33,43,34,16,230,206,191,392,399,462,450,389,245,77,2820,15,56,127,118,196,127,18,0,0,664,74,55,105,117,150,116,45,8,0,679,0,3,20,5,11,7,6,0,0,54,4,0,3,3,6,4,0,4,0,26,99,113,259,247,359,257,77,13,0,1424,3,9,0,8,3,3,0,0,0,29,3,7,4,5,5,6,0,0,0,31,11,13,7,14,10,13,0,0,0,61
101031015,21,28,69,124,174,130,61,25,3,627,25,8,13,17,32,43,28,10,0,165,0,0,4,3,13,10,3,3,0,29,0,0,0,3,3,0,0,0,0,16,46,36,86,143,213,185,90,38,3,831,0,0,0,3,5,4,0,0,0,24,0,0,0,0,3,6,3,0,0,15,4,0,4,3,10,8,4,0,0,36,48,32,86,150,224,192,94,38,3,870,53,3,9,17,24,70,138,70,20,410,7,4,14,7,27,20,18,13,3,125,110,41,113,176,275,289,251,121,27,1399,15,20,34,73,115,72,27,9,0,369,32,17,32,54,80,74,29,7,0,323,0,0,4,3,11,8,3,0,0,34,0,0,0,4,0,3,3,0,0,17,44,40,77,138,205,155,59,14,0,736,0,4,0,0,3,3,0,0,0,14,0,0,0,0,3,7,0,0,0,13,3,5,0,3,8,6,0,0,0,24
101031016,33,144,343,360,359,243,61,4,3,1545,53,62,61,55,63,95,44,4,3,432,6,3,11,12,16,9,3,0,4,65,6,7,8,4,9,10,4,3,0,53,96,212,422,428,447,352,111,5,5,2093,0,7,6,7,3,10,0,0,0,32,0,0,0,0,0,0,0,0,0,12,3,8,10,6,3,8,3,0,0,44,103,220,430,438,456,366,115,6,5,2135,94,18,22,21,45,101,186,112,22,621,22,43,76,44,44,34,19,11,4,305,220,277,527,505,545,507,326,126,40,3062,19,108,217,199,281,139,31,7,0,1009,57,49,111,177,149,115,45,10,0,698,3,0,14,13,16,13,0,0,0,58,0,9,3,11,11,5,3,0,0,41,82,165,349,400,448,274,78,11,0,1806,0,0,3,3,4,3,0,0,0,11,3,3,6,0,0,3,0,0,0,14,4,3,7,3,4,3,0,0,0,31
