SA2_MAINCODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
101021007,4,17,3,3,3,0,0,0,0,33,4,9,0,0,0,0,0,0,0,23,37,16,58,7,3,4,22,7,6,171,26,5,29,0,0,0,7,11,3,80,21,0,4,0,5,3,3,11,7,57,5,12,0,5,0,0,3,0,0,26,3,12,4,0,3,0,3,0,0,27,21,11,3,0,3,6,3,5,0,56,14,11,3,5,3,0,0,0,0,41,9,4,8,0,0,0,0,0,0,24,0,0,16,0,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,21,13,3,4,0,0,0,6,7,0,36,163,113,138,27,31,20,50,52,23,602,8,10,0,4,0,3,0,0,0,21,3,0,0,0,3,0,0,0,0,5,3,3,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,6,7,8,3,0,6,0,0,3,0,31
101021008,5,16,0,3,10,0,0,0,0,33,12,37,10,0,6,0,0,3,0,70,34,36,217,11,24,15,46,32,3,416,25,3,133,7,4,3,10,29,3,220,3,4,13,0,3,4,3,3,0,37,5,11,4,11,0,0,0,0,0,26,8,22,0,3,0,0,0,0,0,30,42,40,6,14,35,19,9,8,10,174,27,36,4,38,13,7,4,0,0,134,4,15,4,3,3,4,0,0,0,30,4,4,30,0,4,3,9,5,0,58,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,4,0,0,17,3,3,9,0,4,3,11,8,8,47,175,224,443,87,108,51,90,94,27,1294,10,12,0,0,5,0,0,0,0,32,3,7,0,0,11,0,0,3,0,22,3,0,0,0,7,0,3,5,0,19,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5
101021009,14,29,5,3,4,6,0,0,0,66,24,67,22,6,12,18,8,14,5,169,53,70,203,17,31,19,42,46,7,491,27,4,114,3,11,5,20,27,3,212,10,6,19,5,3,0,5,10,0,59,0,36,0,13,0,3,0,3,0,59,3,30,0,12,8,3,0,3,0,59,73,63,17,24,66,35,19,15,6,318,41,55,3,61,29,10,11,5,3,222,8,20,17,6,4,7,3,4,0,67,7,3,57,12,6,6,13,14,0,106,0,0,0,0,0,0,0,0,0,3,5,7,6,7,0,0,3,3,0,26,3,7,5,3,5,0,8,4,8,45,266,398,465,170,186,109,122,144,43,1910,6,27,4,9,15,0,0,0,3,68,10,11,4,11,9,4,0,3,0,54,0,14,6,0,4,4,0,4,4,39,0,8,0,3,9,3,0,0,0,16,0,3,5,3,8,3,0,0,0,18
101021010,9,18,6,0,4,0,0,0,0,36,11,49,6,10,4,11,0,0,0,86,26,35,108,14,19,15,18,28,5,255,19,0,56,0,3,0,10,12,0,99,0,0,12,0,3,0,0,3,0,25,3,21,0,4,0,0,0,0,0,29,3,11,0,3,0,0,0,0,0,25,36,28,17,13,24,20,13,7,0,146,23,19,3,22,18,0,6,5,0,98,4,13,3,5,7,3,0,0,0,33,3,3,24,0,0,11,3,4,0,50,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,0,3,0,0,21,0,5,3,4,6,0,0,4,6,26,123,205,246,78,94,56,53,65,10,930,7,10,5,5,4,0,0,3,0,39,0,6,5,0,7,4,0,0,0,24,0,0,0,3,0,0,0,0,0,16,0,4,0,0,4,0,0,0,0,10,0,0,3,0,0,3,0,0,0,9
101021011,47,64,9,3,17,0,0,3,0,141,54,125,29,8,10,8,0,0,7,241,158,117,350,24,55,15,78,46,17,860,105,18,254,10,16,9,26,44,5,493,50,17,38,7,3,0,4,20,3,144,7,56,3,15,5,0,0,0,0,87,18,57,12,8,3,0,3,0,0,97,170,102,17,24,70,31,3,10,8,434,126,132,8,81,34,13,8,3,14,422,21,23,14,3,10,7,3,7,3,83,22,4,32,4,9,4,13,11,0,90,0,4,0,0,0,0,0,0,0,4,8,12,8,10,8,0,3,3,4,59,21,10,36,6,9,4,12,7,6,107,805,751,803,184,238,88,151,160,68,3264,34,62,10,10,27,3,0,0,4,142,16,23,3,0,7,0,0,0,0,53,8,20,5,7,6,6,4,3,0,56,5,15,10,0,3,0,0,0,0,33,23,23,7,3,9,5,0,3,0,87
101021012,39,45,5,3,10,7,0,0,0,108,51,90,20,3,15,3,3,0,5,193,119,95,234,24,37,14,34,32,3,586,69,15,151,3,9,4,14,26,3,305,10,13,16,3,8,0,0,0,0,54,14,38,0,17,10,0,3,4,0,83,20,38,0,10,0,3,0,0,0,70,206,128,16,17,80,26,5,7,11,489,116,88,3,67,39,7,3,8,16,349,9,24,9,3,10,9,0,0,0,69,16,3,20,13,3,3,4,7,0,73,0,0,0,0,0,0,0,0,0,0,25,7,3,5,3,0,0,0,6,54,5,5,11,5,4,0,9,10,6,64,703,587,495,171,227,85,76,100,53,2494,17,24,4,11,19,3,0,3,4,80,10,19,0,0,8,0,0,4,0,43,18,7,8,0,6,0,0,3,3,46,4,8,0,6,5,0,0,0,0,18,0,10,4,0,11,0,0,0,0,31
101031013,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,20,12,41,3,0,0,30,10,3,114,5,0,4,0,0,0,8,3,0,17,53,10,10,0,3,0,9,6,3,95,0,4,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,8,11,3,0,0,0,3,0,0,0,20,3,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,6,3,0,3,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,9,4,0,25,109,34,68,6,4,4,63,32,7,333,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,8,0,0,3,0,0,0,0,16
101031014,3,4,0,0,4,0,0,3,0,17,10,9,5,0,4,0,0,4,0,34,48,44,131,12,7,8,38,34,4,326,29,4,75,3,5,7,13,11,0,145,12,3,21,3,0,3,8,15,0,57,3,28,0,12,0,0,0,0,0,36,7,21,0,3,3,0,0,0,0,30,23,21,3,3,14,24,5,4,3,100,12,16,4,25,7,3,3,0,0,69,0,9,0,3,3,3,0,3,0,18,7,0,18,0,3,3,0,10,0,44,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,3,0,0,14,10,0,12,5,0,8,5,6,4,53,151,154,266,73,49,56,72,96,12,936,0,3,0,0,0,0,0,0,0,8,0,3,0,0,4,0,0,0,0,8,3,4,0,3,0,0,0,4,0,8,3,0,0,0,3,0,0,0,0,10,0,0,3,4,0,0,0,0,0,13
101031015,4,0,0,0,0,0,0,0,0,10,11,3,6,0,0,0,0,0,3,16,44,22,59,3,6,8,14,19,0,177,18,0,30,0,0,3,0,8,0,62,54,3,12,0,0,3,5,14,0,94,3,8,0,0,0,0,0,0,0,10,4,14,0,0,0,0,0,4,0,22,17,8,0,4,6,3,0,3,0,43,6,6,0,7,4,0,3,0,0,26,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,16,10,0,3,0,0,0,4,3,0,29,179,60,126,26,22,21,32,57,4,528,6,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,13,3,0,0,0,0,0,0,0,0,6,4,5,0,4,3,4,4,9,0,38
101031016,11,17,4,0,0,3,0,0,0,36,3,11,3,3,0,0,0,0,0,24,89,29,206,22,14,15,43,53,3,470,53,10,106,19,4,10,12,21,5,246,20,12,22,4,3,3,6,9,4,86,7,20,6,14,0,3,4,0,0,51,7,26,0,12,0,3,3,3,0,57,65,25,4,15,7,20,9,13,0,160,20,12,4,23,8,8,3,13,4,92,12,12,6,4,0,5,4,11,0,53,19,0,50,6,0,3,3,11,0,93,0,0,0,0,0,0,0,0,0,0,7,3,4,4,0,0,0,3,3,26,10,0,8,9,0,9,10,7,9,62,316,174,430,129,46,77,99,146,35,1450,4,8,0,7,4,3,0,3,0,32,0,0,0,3,7,0,0,0,0,16,0,0,0,0,9,3,0,3,0,18,7,0,3,0,3,0,0,0,0,16,12,10,3,3,4,0,3,3,0,44
