SA2_MAINCODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
101021007,5,22,0,3,0,0,0,0,0,31,0,3,0,0,0,0,0,0,0,3,29,87,3,6,16,7,0,0,0,160,0,0,0,0,0,0,0,0,0,0,3,10,3,7,14,0,0,0,0,39,8,4,3,8,10,8,0,5,0,46,20,8,9,32,19,5,0,10,0,105,0,0,0,3,9,3,0,0,0,21,3,5,4,4,12,3,0,3,3,31,5,0,3,0,4,0,0,0,0,8,3,0,0,0,10,5,0,3,4,22,99,182,30,64,98,33,8,22,14,542,0,4,0,0,0,0,0,0,0,0,8,14,0,0,3,0,0,0,0,31,24,44,3,0,4,0,0,0,0,82,0,0,0,0,0,0,0,0,0,4,8,24,0,3,0,0,0,0,0,41,0,3,0,0,0,0,0,0,0,4,68,138,18,9,27,9,3,0,3,277,0,0,0,0,0,0,0,0,0,0
101021008,3,35,0,10,5,0,0,0,0,56,4,5,0,0,5,0,0,0,0,13,54,136,6,24,58,12,0,3,3,296,0,0,0,0,0,0,0,0,0,4,16,16,3,15,28,3,0,3,0,82,27,27,3,49,59,12,0,3,8,193,24,25,30,72,106,30,3,13,7,297,3,3,0,5,16,5,0,3,0,40,12,6,3,19,22,6,0,3,0,71,0,3,0,0,6,3,0,0,0,12,3,3,0,6,8,6,0,3,6,44,164,293,51,205,322,73,5,34,24,1169,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,21,36,60,0,6,22,3,0,0,0,126,0,4,0,0,0,0,0,0,0,9,10,51,0,15,9,0,0,0,0,79,4,11,0,3,8,0,0,0,0,23,87,225,16,36,79,17,3,6,3,474,0,0,0,0,0,0,0,0,0,4
101021009,13,31,3,17,13,0,0,0,0,82,4,13,0,0,8,0,0,0,0,27,77,266,20,73,99,26,3,11,4,581,0,0,0,3,0,0,0,0,0,3,19,19,3,25,24,9,0,3,3,104,19,36,13,62,74,14,0,5,4,229,28,30,41,87,132,54,0,21,8,390,0,3,0,12,25,13,0,7,0,58,3,7,0,9,23,4,0,6,0,54,0,3,0,5,5,3,0,0,0,23,0,5,0,9,7,3,0,5,8,35,195,525,82,327,433,122,3,62,30,1782,0,3,0,0,0,0,0,0,0,4,5,39,0,0,9,0,0,0,0,58,75,135,10,31,41,7,10,9,7,321,0,13,0,3,3,0,0,0,0,20,24,47,7,20,22,0,0,0,0,111,9,17,0,4,11,0,0,0,0,46,145,455,53,114,136,57,25,38,15,1046,0,0,0,3,3,0,0,0,0,4
101021010,3,18,0,6,8,0,0,0,0,34,3,4,0,0,6,0,0,0,0,10,44,145,10,27,44,18,0,10,3,286,0,0,0,0,0,0,0,0,0,0,4,6,3,20,20,3,0,3,0,57,9,21,3,17,31,16,0,0,0,101,20,14,18,38,43,14,3,5,0,152,3,7,0,3,10,6,0,4,0,30,3,4,0,3,7,0,0,0,0,24,4,0,0,0,0,0,0,0,0,10,0,3,4,4,13,3,0,3,0,28,112,261,41,123,186,64,4,29,10,833,0,0,0,0,0,0,0,0,0,0,9,23,3,0,0,3,0,3,0,37,34,73,7,9,22,16,5,7,4,176,0,3,0,0,0,0,0,0,0,3,5,30,0,6,10,0,0,0,0,49,3,6,0,0,3,0,0,0,0,22,73,234,24,46,63,26,3,18,3,496,3,0,0,0,0,0,0,0,0,3
101021011,25,95,0,8,20,3,0,0,3,158,17,19,0,0,13,0,0,0,0,54,179,512,29,54,136,26,0,8,20,955,0,0,0,3,0,0,0,0,0,3,51,61,13,34,79,12,3,3,4,246,55,62,19,71,142,18,0,5,11,383,53,61,60,98,186,33,3,15,12,519,13,3,3,7,37,8,0,3,3,78,19,11,0,13,51,16,0,5,4,114,11,5,0,0,9,0,0,0,3,34,7,13,7,10,20,8,0,3,8,76,535,1019,128,320,726,132,13,44,66,2976,3,4,0,0,0,0,0,0,0,10,51,105,0,0,13,0,0,0,0,167,215,236,6,21,57,9,0,3,9,563,6,14,0,0,0,0,0,0,0,25,53,135,4,18,31,3,3,0,3,248,32,31,0,4,18,3,0,0,0,84,384,813,63,92,187,44,4,17,36,1638,3,0,0,0,0,0,0,0,0,9
101021012,16,65,0,12,15,0,0,0,0,103,17,25,0,3,7,0,0,0,0,57,119,375,12,50,130,23,0,0,13,727,0,0,0,0,0,0,0,0,0,3,38,46,4,31,63,12,0,0,3,195,56,51,8,43,101,22,0,0,3,283,35,36,63,93,180,25,4,12,0,453,3,3,0,8,28,7,0,0,0,53,16,3,0,4,52,4,0,0,0,87,3,4,0,0,12,3,0,0,0,26,5,5,0,3,14,3,0,5,3,39,399,752,92,270,623,92,6,21,38,2290,3,4,0,0,0,0,0,0,0,7,22,47,0,0,6,0,0,0,0,75,246,244,7,20,52,0,0,0,28,596,6,11,0,0,3,0,0,0,0,19,47,95,5,13,24,3,0,0,4,181,30,29,4,3,11,3,0,0,0,80,296,592,34,77,190,36,3,11,21,1266,0,3,0,0,0,0,0,0,0,6
101031013,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,44,0,5,4,4,0,0,4,73,0,0,0,0,0,0,0,0,0,0,12,3,0,6,4,0,0,0,0,31,10,6,0,9,9,0,0,0,0,27,13,3,5,18,21,13,0,8,0,82,4,0,0,3,0,0,0,4,0,15,4,0,0,0,5,4,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,4,0,12,55,68,15,47,57,20,4,17,4,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,30,60,3,6,3,4,4,3,4,114,0,0,0,0,0,0,0,0,0,0
101031014,4,14,0,3,3,0,0,3,0,26,0,4,0,0,0,0,0,0,0,6,22,158,8,14,19,5,0,0,0,235,0,0,0,0,0,0,0,0,0,3,4,8,3,21,4,8,0,3,0,56,15,19,3,33,28,6,0,0,3,112,17,24,20,71,71,25,3,17,3,261,4,0,0,10,5,10,0,5,0,39,3,0,3,14,12,9,0,0,0,34,0,3,0,0,5,0,0,0,0,14,6,9,3,11,15,3,0,5,5,49,93,276,46,173,171,67,6,43,15,890,0,3,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,8,22,43,4,0,14,0,0,0,3,79,0,3,0,0,0,0,0,0,0,6,6,21,0,3,3,0,0,3,0,42,3,7,0,0,0,0,0,0,0,10,50,244,10,23,25,12,0,9,3,378,0,0,0,0,0,0,0,0,0,3
101031015,0,3,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,31,66,0,4,16,3,0,3,0,138,0,0,0,0,0,0,0,0,0,0,10,14,3,8,15,0,0,3,3,53,11,9,4,7,24,6,0,3,0,65,6,9,12,31,23,8,0,17,0,109,0,0,0,3,7,0,0,5,0,21,3,0,0,0,9,0,0,4,0,30,5,0,0,0,0,0,0,0,0,8,10,0,0,0,10,3,0,3,0,28,97,127,17,62,107,21,3,36,7,478,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,17,23,0,0,5,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,6,65,100,7,14,23,8,0,9,0,224,0,0,0,0,0,0,0,0,0,0
101031016,3,24,0,0,5,0,0,0,0,36,0,12,0,0,0,0,0,0,0,7,59,152,10,57,52,23,0,25,4,377,0,0,0,0,0,3,0,0,0,5,26,11,0,24,21,11,0,10,0,108,26,19,4,30,35,25,3,12,0,148,49,11,33,71,72,30,5,16,4,295,8,0,0,5,17,3,0,6,0,46,11,0,4,16,22,14,0,10,3,78,3,0,0,4,6,0,0,3,0,18,8,3,3,3,12,4,0,6,9,49,207,280,56,222,242,124,8,85,20,1247,0,0,0,0,0,0,0,0,0,3,9,13,0,0,0,0,0,0,0,17,25,53,5,7,3,0,0,4,3,107,3,0,0,0,3,0,0,0,0,6,6,34,0,10,3,0,0,0,0,55,6,9,0,0,0,0,0,0,0,17,129,241,19,79,60,34,6,36,9,618,0,0,0,0,0,7,0,0,0,9
