SA2_MAINCODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
101021007,20,0,30,0,0,0,0,3,0,9,0,0,3,0,0,0,10,0,0,3,4,4,0,12,0,0,3,3,6,0,12,8,3,13,3,8,3,38,0,0,3,0,3,0,11,16,5,24,20,17,4,94,11,14,34,3,15,0,86,8,4,22,18,33,0,86,7,3,7,0,3,0,18,0,0,0,9,11,5,25,3,0,3,3,3,0,16,64,37,160,91,158,36,542,16,7,30,21,52,12,141,0,0,0,0,3,0,3,3,0,10,9,25,3,51,0,0,3,4,8,0,14,0,0,3,6,77,10,96,0,0,0,0,9,3,13,4,0,7,7,26,3,47,0,0,8,4,28,3,47,3,0,9,4,16,3,34,0,0,8,0,3,0,10,0,0,5,6,3,0,22,0,0,3,4,9,0,14,19,3,31,10,17,5,88,0,0,3,3,9,0,21,29,10,48,38,37,8,173,13
101021008,18,8,35,0,0,0,5,13,0,15,0,0,4,0,3,0,16,0,0,4,3,9,0,13,0,0,3,10,15,0,26,6,6,16,22,17,3,72,0,0,6,9,21,0,35,29,17,101,91,95,6,344,14,12,49,20,38,3,137,8,22,63,67,84,8,252,0,3,6,3,4,0,16,0,0,8,13,26,0,45,0,0,3,0,9,11,25,61,68,296,278,406,53,1169,0,0,0,3,6,0,7,0,0,0,0,3,0,3,5,0,5,14,71,3,98,0,0,5,3,29,3,40,3,0,8,19,237,9,278,0,0,3,3,37,3,46,0,0,20,23,94,9,152,0,0,9,15,34,7,64,3,0,0,13,44,7,67,4,0,11,8,15,0,31,3,0,5,7,11,0,25,0,0,6,14,26,0,46,17,9,48,40,43,3,159,0,0,5,11,41,3,65,85,37,173,158,184,10,641,18
101021009,23,0,72,3,3,0,8,12,0,19,0,3,12,6,10,0,26,0,4,9,4,16,0,34,0,0,8,4,17,0,24,14,9,50,16,20,5,117,0,0,12,10,18,5,40,69,39,148,105,110,13,486,34,26,97,20,22,0,200,34,27,147,78,119,15,422,3,6,15,4,7,0,37,3,0,10,15,22,0,50,6,0,7,8,17,13,47,180,116,581,339,506,55,1782,0,0,3,0,9,0,12,0,0,0,0,5,0,5,4,3,24,21,97,4,156,0,0,5,8,25,0,42,7,0,25,29,226,8,294,3,0,8,9,22,3,44,26,0,58,52,124,6,264,17,3,40,43,76,4,183,11,5,22,17,57,3,104,3,3,23,23,17,3,65,3,3,13,5,18,0,52,0,0,8,9,23,0,41,35,14,108,41,32,9,242,4,0,22,14,42,6,82,150,69,301,187,229,16,966,52
101021010,22,5,49,0,0,0,0,3,3,11,0,0,3,3,5,0,10,0,0,7,3,3,0,13,0,0,3,3,8,0,18,9,8,23,8,12,0,58,0,0,4,6,3,0,11,29,21,80,46,47,7,234,16,12,47,11,7,0,96,17,5,75,36,31,10,184,0,0,3,0,0,0,5,0,0,7,4,7,3,26,0,0,7,7,4,3,26,95,47,286,162,205,38,833,0,0,3,0,0,0,6,0,0,0,0,3,0,4,0,0,5,9,33,0,56,0,0,0,3,8,0,15,4,0,4,15,115,4,145,0,0,3,4,13,0,21,25,0,29,22,56,0,133,9,0,27,26,39,5,100,7,0,11,15,24,5,61,0,3,8,14,9,0,35,3,0,8,7,3,0,21,0,0,3,5,17,0,31,22,6,57,27,18,7,135,0,0,4,8,15,0,35,73,34,147,79,104,9,450,34
101021011,30,3,67,4,0,7,9,22,0,42,0,4,7,12,7,3,35,8,0,11,20,14,3,55,0,0,12,20,23,0,53,46,15,89,50,45,8,248,6,3,13,17,25,6,62,137,71,313,201,173,13,907,68,64,188,58,57,8,436,52,47,183,117,95,20,518,6,3,18,6,7,0,47,3,0,20,22,49,9,101,3,4,25,8,24,12,81,351,220,955,638,707,105,2976,9,8,32,30,62,9,152,0,0,0,4,13,0,19,8,0,22,21,111,10,168,4,0,9,10,45,0,63,3,3,33,82,536,27,684,4,4,16,15,44,0,79,6,3,50,44,116,13,232,3,0,21,36,70,8,141,3,4,19,23,103,8,162,8,3,22,23,34,6,99,12,3,28,26,16,3,86,0,5,17,34,38,4,86,115,40,222,109,87,19,595,5,7,17,32,59,6,129,333,130,566,380,345,27,1781,108
101021012,35,0,59,7,0,11,6,10,3,33,0,0,6,8,4,0,19,5,0,8,8,9,3,34,0,0,4,13,19,0,36,21,9,68,35,28,10,177,0,4,10,10,12,0,45,128,73,235,205,170,21,837,50,39,149,48,52,5,339,29,28,137,83,85,0,368,0,3,13,3,11,0,27,3,0,19,22,52,0,99,4,0,6,11,9,6,41,256,169,727,480,587,61,2290,0,0,3,0,5,0,10,3,0,0,0,3,0,4,5,3,11,12,69,4,106,6,0,3,7,26,0,43,5,0,33,37,331,19,422,5,0,12,11,30,0,50,6,3,54,43,83,11,195,6,0,24,22,74,0,127,12,0,22,12,43,10,97,6,7,19,21,19,3,63,3,0,18,22,12,3,58,3,4,18,18,32,4,81,72,24,140,75,59,12,385,0,4,12,14,39,0,78,405,146,497,387,335,40,1815,74
101031013,3,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,7,0,0,0,3,3,0,3,0,0,0,0,0,0,4,0,0,5,4,11,0,17,0,0,0,0,3,3,8,0,0,4,5,6,0,19,4,4,25,11,12,0,47,0,4,17,16,24,0,59,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,9,10,73,61,107,19,272,6,0,33,27,96,12,174,0,0,0,0,0,0,0,0,0,9,3,32,3,49,0,0,0,0,9,0,9,0,0,0,0,27,3,33,0,0,0,0,3,0,10,0,0,6,3,24,3,36,0,0,0,3,12,4,15,0,0,0,0,10,4,17,0,0,3,0,0,0,5,0,0,0,3,0,0,9,0,0,0,0,3,0,3,0,0,11,4,9,0,22,0,0,0,0,5,4,12,0,0,7,11,18,7,44,4
101031014,41,7,70,0,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,3,3,10,0,13,0,0,3,7,7,0,10,3,0,8,13,14,4,42,0,0,3,3,13,0,26,10,3,19,24,31,7,88,8,12,71,23,28,6,152,18,13,67,46,80,11,236,0,0,5,0,5,0,10,0,3,0,6,21,0,28,3,0,4,0,0,6,17,55,39,235,163,335,65,890,0,0,5,8,29,3,47,0,0,0,0,3,0,3,0,3,5,0,46,7,64,20,0,51,22,43,3,130,0,0,3,10,150,8,173,0,0,3,6,20,3,30,6,0,26,23,102,13,173,3,4,5,15,76,19,122,0,0,0,3,38,5,44,4,0,0,5,15,0,21,0,0,7,4,11,0,18,0,0,7,5,12,3,33,6,3,23,13,25,4,81,0,0,3,7,30,3,48,6,9,40,47,95,9,215,16
101031015,20,7,33,0,0,0,7,5,0,8,0,0,0,0,3,0,6,0,0,0,0,0,0,4,0,0,0,3,7,3,8,3,3,12,4,6,0,31,0,0,4,3,6,0,19,11,0,20,16,9,3,65,10,4,35,10,19,0,80,8,3,24,22,27,3,80,0,0,0,0,0,0,3,0,0,0,7,8,0,12,0,0,0,4,4,5,9,25,12,138,111,152,39,478,10,3,29,35,97,15,194,0,0,0,0,0,3,5,0,0,0,4,15,3,25,3,0,11,7,11,0,38,0,0,4,4,59,7,77,0,0,5,5,16,0,24,0,0,13,5,41,4,60,3,0,7,7,29,13,51,0,0,0,7,22,0,29,0,0,0,5,3,0,9,3,0,3,0,3,0,6,0,0,3,7,7,3,17,7,3,22,8,9,0,57,0,0,4,3,11,0,22,12,8,36,28,32,4,128,8
101031016,104,11,224,0,0,6,3,10,0,17,0,0,3,0,0,0,10,0,0,0,3,9,0,13,0,0,6,11,11,3,38,5,5,28,9,12,5,63,0,0,12,12,19,9,53,6,4,31,27,38,0,100,20,15,88,22,34,6,195,10,15,60,34,34,9,157,3,6,38,26,40,0,114,0,0,3,12,15,0,34,0,0,8,8,4,8,34,69,49,377,260,414,64,1247,4,3,30,19,61,11,122,0,0,3,3,5,0,14,0,0,10,5,42,3,56,0,0,15,18,47,3,81,0,0,10,19,181,10,216,0,0,5,8,19,0,32,3,3,27,28,71,11,143,16,4,85,86,270,32,495,0,0,7,10,41,4,65,0,0,10,3,9,0,17,4,0,3,3,5,0,21,0,0,12,15,30,3,68,18,8,51,16,24,10,125,3,0,13,17,46,10,95,11,6,61,44,80,4,204,31
