SA2_MAINCODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
101021007,0,3,4,8,3,8,0,3,0,25,29,31,98,150,198,183,56,10,3,765,6,10,22,23,34,71,58,19,3,249,0,3,3,5,3,0,0,0,0,13,8,5,10,19,16,10,6,0,0,79,0,0,3,7,7,0,0,0,0,19,10,12,31,30,42,32,9,0,0,154,0,0,3,5,4,7,5,0,0,32,13,3,9,19,23,25,6,3,0,103,15,11,11,20,15,13,3,0,0,90,0,0,6,6,13,19,9,0,0,60,0,0,4,7,4,0,0,0,0,12,0,0,7,3,7,9,0,0,0,27,0,0,6,4,3,6,0,0,0,22,0,3,13,22,27,23,11,3,0,97,0,0,5,3,13,6,6,0,0,34,0,3,25,57,72,44,6,0,0,204,0,4,12,24,38,45,7,0,0,131,0,3,14,14,38,35,11,0,0,119,0,3,6,7,9,8,3,4,0,41
101021008,0,8,10,10,11,14,0,0,0,51,138,199,401,439,477,324,46,3,0,2029,0,3,3,0,4,0,7,0,0,12,0,0,3,3,0,0,0,0,0,7,12,10,42,44,39,30,11,3,0,183,3,3,10,21,14,12,0,0,0,55,30,69,122,99,95,63,15,0,0,488,7,3,18,18,17,17,4,0,0,91,74,71,74,60,47,54,9,0,0,382,93,30,40,17,16,14,0,0,0,213,3,7,24,32,51,35,11,3,0,167,0,3,11,14,9,11,0,0,0,45,0,5,12,9,7,8,0,0,0,37,0,3,13,15,13,9,8,0,0,68,4,20,53,62,47,37,5,0,0,218,4,14,24,34,48,36,11,0,0,167,5,35,207,249,288,145,14,0,0,937,5,12,53,59,75,54,8,0,0,266,16,50,79,89,98,85,16,0,0,438,8,10,7,12,13,10,0,0,0,49
101021009,5,14,24,21,13,3,4,3,0,89,109,300,795,555,540,304,52,4,0,2659,0,0,0,3,6,0,0,3,0,12,0,0,3,3,3,0,0,0,0,9,8,19,67,53,52,28,9,0,0,242,0,8,18,9,22,7,4,0,0,70,19,59,168,116,93,66,9,0,0,520,0,7,20,24,22,11,3,0,0,91,52,99,163,93,83,54,14,4,0,557,67,75,121,54,34,18,9,0,0,377,3,18,63,37,49,38,12,0,0,221,0,4,30,25,20,9,5,0,0,99,0,10,29,22,7,7,0,0,0,71,0,9,26,17,12,8,0,0,0,69,0,29,112,83,55,29,20,0,0,322,3,22,50,31,31,49,8,0,0,190,5,64,367,323,329,140,19,3,0,1250,9,26,98,83,76,51,11,0,0,353,13,77,200,144,125,91,12,0,0,666,8,7,21,16,18,8,0,0,0,79
101021010,0,6,0,3,16,10,0,0,0,33,61,135,343,231,264,177,27,4,0,1240,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,5,5,24,20,18,20,4,0,0,101,0,0,5,0,3,4,0,0,0,19,9,41,57,50,50,24,12,0,0,244,0,3,16,5,12,9,0,0,0,51,27,43,86,41,38,25,0,3,0,268,40,30,62,28,17,10,0,0,0,192,3,9,30,22,21,30,4,0,0,117,0,4,10,9,6,3,0,0,0,41,0,3,13,5,8,3,3,0,0,36,0,3,19,11,5,3,3,0,0,47,0,19,48,21,34,32,5,0,0,161,5,7,20,14,13,15,9,0,0,84,0,26,171,147,164,71,12,0,0,598,4,16,42,32,35,31,14,0,0,172,9,30,73,53,70,49,9,0,0,291,3,6,7,0,6,0,0,0,0,26
101021011,12,10,13,30,50,18,9,0,0,144,260,306,673,1012,1189,676,137,13,3,4269,8,10,26,22,50,47,61,16,0,237,0,0,3,3,7,9,0,0,0,26,26,25,41,58,70,44,15,4,0,279,0,5,18,31,26,16,0,0,0,90,44,99,243,204,230,146,37,0,0,1000,4,5,22,24,42,25,8,0,0,132,111,81,63,67,106,79,27,0,0,543,142,46,49,43,42,25,8,0,0,355,3,12,33,73,82,80,18,0,0,303,3,9,25,21,38,25,7,0,0,126,0,8,25,24,34,21,3,0,0,118,4,8,28,32,37,11,5,0,0,132,14,39,97,174,222,142,32,4,0,720,6,10,32,45,71,45,8,0,0,215,10,59,373,668,747,372,42,0,0,2278,26,40,92,159,215,131,28,3,0,698,18,60,123,161,186,174,30,0,0,756,22,17,16,30,24,21,8,0,0,134
101021012,7,9,9,16,28,8,0,0,0,82,272,291,588,861,1018,408,49,3,0,3487,0,0,3,8,3,0,4,0,0,19,0,3,0,3,3,3,0,0,0,16,28,13,38,44,49,33,4,0,0,205,0,0,14,13,24,11,0,0,0,63,31,76,145,124,163,80,8,0,0,627,6,12,24,23,32,11,0,0,0,112,171,98,69,73,93,55,14,3,0,583,146,62,50,37,45,14,4,0,0,356,4,9,22,42,56,31,11,0,0,181,3,5,22,19,29,10,0,0,0,96,0,8,13,23,29,15,3,0,0,93,0,15,25,24,27,18,4,0,0,115,13,40,101,131,148,60,6,0,0,501,3,11,20,32,53,37,8,0,0,167,18,74,373,701,840,283,29,3,0,2319,19,38,100,131,164,67,14,0,0,533,25,69,89,135,186,84,14,0,0,591,23,13,21,10,14,16,7,0,0,95
101031013,0,0,0,0,5,0,0,0,0,6,29,29,73,81,112,106,43,0,0,470,8,22,42,40,66,73,53,10,3,316,0,0,0,0,0,0,0,0,0,3,7,11,29,25,21,14,0,0,0,107,0,0,0,0,3,4,0,0,0,9,7,8,13,5,9,14,3,0,0,55,0,0,3,4,4,0,0,0,0,17,14,8,8,17,8,11,6,0,0,78,13,4,10,5,16,10,0,0,0,60,4,3,3,3,5,7,8,0,0,34,0,0,0,3,0,0,0,0,0,7,0,0,0,5,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,5,0,0,6,3,9,10,6,0,0,34,0,0,0,7,9,8,0,0,0,23,3,0,16,12,22,15,7,0,0,72,0,0,11,13,24,13,3,0,0,73,0,7,17,15,16,38,4,0,0,94,0,0,0,0,0,0,3,0,0,5
101031014,8,3,3,6,3,10,3,3,0,34,99,113,259,247,359,257,77,13,0,1424,6,16,14,5,22,16,15,3,0,96,0,0,0,0,3,3,0,0,0,12,4,17,28,14,16,19,3,0,0,109,3,5,46,33,41,28,4,0,0,156,6,16,46,54,48,36,20,0,0,237,3,8,0,12,15,19,4,0,0,64,45,47,69,72,80,62,20,0,0,389,82,50,47,32,36,36,6,3,0,295,0,3,12,18,39,31,7,0,0,111,4,3,7,3,12,8,0,0,0,31,0,8,8,4,13,6,0,0,0,33,7,3,7,8,12,9,5,0,0,58,3,10,29,14,18,19,13,3,0,113,0,4,17,21,29,14,7,0,0,94,5,5,52,65,89,66,7,0,0,297,5,10,30,44,73,52,14,3,0,240,6,29,68,55,85,84,16,0,0,345,0,0,7,6,9,6,3,0,0,23
101031015,3,0,0,3,8,5,4,3,0,21,44,40,77,138,205,155,59,14,0,736,12,12,25,51,78,46,70,31,4,329,0,0,0,3,0,6,0,0,0,12,4,0,4,8,9,10,0,0,0,45,0,0,9,7,12,18,0,0,0,49,3,10,22,22,31,24,6,0,0,127,0,4,3,6,12,8,3,0,0,30,16,11,17,18,41,26,8,0,0,141,24,12,5,16,19,10,8,3,0,107,0,0,5,12,9,17,3,0,0,51,0,0,0,8,5,3,0,0,0,18,0,0,0,3,5,6,0,0,0,9,0,0,4,3,5,4,4,0,0,20,0,0,6,18,21,15,4,0,0,69,0,0,0,10,10,17,4,0,0,42,0,0,18,45,55,41,6,0,0,171,3,3,10,30,36,26,10,0,0,119,3,3,16,15,30,36,5,0,0,113,0,0,3,6,4,3,0,0,0,14
101031016,0,8,3,8,6,14,3,0,0,43,82,165,349,400,448,274,78,11,0,1806,3,8,14,22,48,50,45,9,8,203,0,0,4,6,0,0,3,0,0,21,9,5,19,19,19,10,8,0,0,86,0,10,15,33,36,7,0,0,0,95,7,17,47,83,68,46,4,0,0,265,7,3,10,11,15,13,3,0,0,63,26,27,43,48,67,40,12,0,0,266,58,137,239,147,152,101,31,3,0,873,3,0,15,21,32,29,12,0,0,110,3,7,8,3,4,0,0,0,0,36,0,0,10,9,12,3,0,0,0,35,13,12,18,22,24,26,4,0,0,122,0,3,10,46,38,29,10,0,0,140,8,11,31,28,38,32,6,0,0,157,5,14,49,57,68,47,7,0,0,248,8,10,51,85,81,44,10,0,0,285,3,4,37,50,59,51,10,0,0,211,21,68,102,79,94,55,18,0,0,448
