SA2_MAINCODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
101021007,5,15,14,7,5,28,11,83,3,163,0,0,0,0,0,3,0,7,0,9,3,7,3,7,15,11,3,9,3,49,0,0,0,0,3,7,3,3,0,15,3,7,7,13,16,42,26,32,0,141,0,0,0,0,3,3,3,12,0,20,0,3,5,0,3,7,3,13,0,30,0,8,5,0,0,3,4,12,0,32,0,3,6,0,4,6,3,10,3,45,0,0,0,0,0,3,0,0,0,9,0,0,3,3,0,3,0,0,0,17,3,0,0,0,0,0,0,3,0,8,3,7,3,9,7,12,3,9,3,51,0,8,0,0,3,0,0,6,0,17,6,3,0,6,19,19,20,18,0,99,0,11,3,4,3,4,0,8,0,38,0,7,4,0,3,3,3,0,0,19,0,0,0,4,3,3,3,7,0,17,0,4,3,0,4,10,4,11,4,41,3,5,6,0,7,5,5,11,18,62
101021008,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,8,3,3,0,9,32,37,26,27,3,136,0,0,0,0,16,12,4,13,0,44,6,13,16,16,73,153,61,99,7,450,3,3,0,3,19,13,13,11,0,65,5,30,12,20,37,24,24,19,0,165,0,30,15,11,17,9,5,5,0,94,5,3,3,9,17,33,7,33,0,122,0,5,3,3,13,6,0,0,0,26,0,0,0,0,0,4,0,0,0,10,0,0,0,0,3,8,10,12,0,31,0,10,3,5,36,32,14,12,0,109,3,3,9,6,18,13,9,6,0,73,16,9,11,10,122,102,70,61,4,407,0,10,3,0,24,19,9,11,0,75,3,4,11,12,20,17,3,10,0,71,0,6,0,4,8,3,0,3,0,23,4,9,3,5,21,25,18,14,0,100,3,11,3,8,24,26,11,20,33,134
101021009,0,0,0,0,3,4,3,0,0,13,0,0,0,0,0,0,3,8,0,13,3,9,0,3,54,46,33,38,4,191,0,0,0,3,10,15,7,13,3,44,10,9,9,30,83,144,78,95,10,467,0,0,0,0,14,17,9,17,0,59,7,28,24,30,78,35,23,37,3,269,5,39,20,32,35,33,14,27,0,201,9,6,10,22,34,34,18,46,0,178,4,3,0,3,22,20,4,8,0,59,0,0,0,0,7,5,3,0,0,26,0,0,0,0,3,7,3,6,0,31,4,5,10,4,41,48,19,29,0,156,0,12,5,10,21,17,9,8,0,98,22,9,6,20,214,167,76,72,8,600,3,17,6,10,25,29,4,18,0,113,3,18,13,22,47,16,10,17,0,135,0,0,0,6,11,4,3,0,0,34,0,11,5,10,23,28,14,25,0,118,4,10,9,9,27,31,12,18,38,153
101021010,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,3,0,26,14,9,16,0,72,0,0,0,0,0,3,3,0,0,14,3,6,6,10,39,66,38,54,0,220,0,0,4,0,14,3,5,10,0,37,0,11,7,21,42,17,10,16,0,132,3,12,16,13,24,11,3,4,4,89,3,6,3,9,20,20,13,26,3,98,0,3,0,0,8,11,0,3,0,24,0,0,0,0,3,4,8,0,0,16,0,0,0,0,4,4,3,8,0,18,0,0,6,4,23,30,16,13,0,92,3,3,6,3,15,11,3,3,0,47,13,8,6,13,76,89,43,47,0,289,3,3,0,0,12,18,4,12,4,60,0,0,9,11,10,7,6,14,0,61,0,6,0,0,0,4,3,0,0,14,3,3,5,8,12,12,10,13,0,64,0,0,3,0,10,15,9,10,14,55
101021011,5,17,8,17,12,24,16,63,6,162,0,0,0,0,0,6,3,14,0,24,4,5,8,9,35,46,36,63,5,213,6,0,3,3,18,18,9,20,0,69,20,27,33,40,95,271,132,251,9,883,3,3,3,4,14,21,15,23,0,89,4,49,13,19,34,32,34,46,0,236,5,55,17,9,21,22,10,19,3,166,15,4,8,17,34,39,34,62,7,212,3,3,4,7,20,15,14,14,0,73,0,0,0,0,7,13,3,12,3,43,3,4,0,0,11,13,5,21,0,53,9,19,13,28,64,103,64,92,4,402,3,13,3,14,20,17,10,26,0,101,61,24,24,28,238,289,182,210,12,1058,6,25,12,11,36,49,23,34,3,197,8,9,5,14,44,32,11,20,0,140,0,16,3,3,12,9,10,9,0,57,5,9,3,15,30,42,31,49,4,180,3,14,11,12,33,33,15,48,26,197
101021012,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,3,0,7,0,12,3,11,3,5,33,37,23,33,0,145,0,0,3,0,16,17,6,14,0,52,6,9,17,25,79,171,85,163,11,564,3,0,0,3,18,20,11,22,0,82,9,61,33,31,39,30,25,40,0,262,3,66,15,17,17,19,10,23,3,175,3,9,3,9,27,31,15,41,0,130,0,3,3,0,13,14,11,16,0,63,0,4,0,0,7,5,6,11,0,35,0,0,5,0,10,12,11,22,0,61,11,18,5,0,59,72,43,75,0,277,4,6,3,11,27,14,7,9,0,73,39,19,19,29,231,326,233,287,4,1183,6,18,10,8,32,32,8,16,0,123,3,12,12,9,27,19,12,18,0,109,3,19,5,0,11,3,3,6,0,53,3,3,0,4,22,24,17,27,0,106,4,9,0,6,25,34,6,22,21,127
101031013,11,6,14,7,24,34,23,115,7,238,0,0,0,0,0,0,0,0,0,0,0,3,0,4,12,9,26,19,0,76,0,0,0,0,4,3,0,0,0,6,4,0,3,6,5,11,6,19,3,55,0,0,3,0,0,4,0,3,0,8,0,4,0,0,0,0,3,7,0,21,0,5,0,3,0,0,0,3,0,22,0,4,3,0,0,3,5,12,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,14,0,3,0,0,0,0,0,0,0,9,3,3,0,3,16,4,4,8,0,45,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,5,0,3,0,0,5,7,3,7,0,17,0,3,0,0,9,4,7,0,5,30
101031014,4,3,6,11,16,13,7,25,0,72,0,0,0,0,0,0,0,5,0,12,0,10,15,7,10,13,11,10,0,73,7,0,0,0,37,27,19,20,0,115,7,14,4,17,35,69,24,40,3,220,0,5,4,3,0,16,6,13,0,43,8,12,19,13,37,16,13,37,0,161,3,27,19,15,12,14,6,22,0,113,3,4,10,13,6,11,12,33,0,94,0,4,4,0,0,7,7,0,0,19,0,0,0,0,3,3,0,0,0,6,0,3,3,4,0,8,0,11,0,28,0,8,3,0,12,10,3,7,0,49,0,9,0,9,7,0,0,4,0,39,11,4,4,3,73,27,20,25,4,171,0,15,8,5,5,12,3,10,0,54,4,0,3,8,12,13,3,15,0,56,0,0,0,0,5,3,0,4,0,10,0,5,0,4,14,22,8,18,3,75,3,3,3,0,13,8,7,5,21,59
101031015,4,10,10,16,24,38,11,114,3,231,0,0,0,0,0,0,3,9,0,12,0,0,0,7,3,8,0,8,0,28,4,0,3,3,10,12,4,7,0,41,6,5,0,6,18,32,11,27,3,107,0,0,0,0,4,3,6,13,0,19,3,7,7,9,9,5,4,9,0,53,0,13,5,0,3,3,0,8,0,34,0,3,4,0,3,10,3,16,0,37,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,10,0,3,4,0,6,12,3,3,0,32,0,0,3,3,0,3,0,3,0,17,3,0,0,0,34,27,7,9,0,85,3,11,0,0,9,7,3,3,0,30,3,0,7,3,0,4,0,0,0,15,0,0,0,0,0,3,0,0,0,14,0,0,0,0,7,7,3,10,0,29,3,3,3,3,5,3,3,6,10,37
101031016,4,3,3,12,5,20,14,57,4,137,4,0,0,0,0,0,3,5,0,17,3,3,5,8,5,14,8,13,3,56,5,3,0,3,19,15,17,15,0,90,17,12,19,25,27,43,36,59,4,234,0,4,6,3,0,8,5,9,0,30,0,9,8,5,20,10,11,36,0,103,0,33,28,51,52,51,60,183,4,459,3,3,6,4,10,14,3,23,0,70,0,3,3,0,4,10,3,0,0,16,0,0,0,0,0,3,0,3,0,9,3,6,3,3,13,12,9,18,3,64,0,6,11,3,4,9,5,22,0,65,0,11,7,17,10,15,3,9,0,60,7,4,0,9,42,26,12,26,3,127,0,12,5,9,12,8,10,24,0,75,3,3,5,3,4,3,3,9,0,37,7,12,6,20,57,42,37,87,0,276,0,4,0,4,10,13,11,16,4,69,7,4,4,3,13,16,11,15,15,88
