SA2_MAINCODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
101021007,35,79,53,69,93,177,105,238,37,888,0,12,9,11,3,12,9,31,0,81,0,0,0,0,0,0,0,0,0,0,0,7,9,7,3,0,0,5,0,30,0,0,0,0,0,3,0,0,0,3,0,3,3,0,3,0,0,0,0,16,0,0,3,4,0,0,0,0,0,11,3,20,13,9,15,6,0,3,0,74,3,17,7,6,5,3,0,10,0,58,0,3,5,3,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,10,0,3,3,0,0,3,0,0,0,12,0,0,0,0,3,3,3,0,0,9,0,6,9,7,5,14,8,7,0,50,4,3,3,3,0,0,0,0,0,22,8,3,16,10,36,22,10,6,0,109,3,10,13,14,8,10,11,10,0,93,5,15,14,29,15,15,6,4,0,103,4,5,5,3,3,3,0,3,0,20,0,3,3,0,3,6,0,3,0,28
101021008,53,138,85,116,500,549,279,367,59,2154,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,7,3,5,14,10,0,9,0,43,0,0,0,0,6,3,0,4,0,12,0,4,7,4,11,4,7,0,0,38,0,3,0,3,9,11,0,0,0,22,0,50,37,38,43,17,16,11,3,217,6,42,18,18,21,5,3,9,0,120,0,6,8,10,11,8,0,0,0,50,0,0,0,0,6,4,4,0,0,17,0,0,0,8,7,6,0,0,0,26,0,7,0,0,17,5,6,3,0,39,6,3,13,15,25,26,11,10,0,108,8,16,11,10,29,18,0,3,5,96,32,17,18,54,177,124,65,55,10,532,10,22,20,41,43,22,16,16,0,192,12,36,58,83,94,48,17,21,3,364,0,3,3,6,0,8,0,3,0,28,3,9,8,13,13,12,7,0,0,73
101021009,83,172,122,210,761,710,349,475,70,2947,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,8,3,11,3,5,6,0,44,3,0,3,3,3,8,0,3,0,20,0,9,3,10,12,9,9,5,0,53,0,3,5,0,14,7,0,0,0,33,9,40,42,46,79,31,25,17,0,288,3,47,32,35,32,13,11,12,3,177,0,4,3,6,11,4,8,5,0,37,0,3,3,6,12,7,0,3,0,38,7,0,0,3,13,15,8,6,0,52,3,0,0,3,7,7,10,6,0,39,6,15,12,18,40,37,14,17,0,159,0,9,17,25,19,13,3,3,0,95,40,15,30,64,201,152,81,59,8,652,15,24,22,31,62,29,23,35,0,239,33,42,66,103,169,60,17,32,3,531,3,12,4,12,16,3,3,4,0,44,3,14,11,4,20,10,0,3,0,73
101021010,32,63,76,99,346,332,178,262,21,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,5,4,3,0,26,0,0,3,0,0,0,0,0,0,3,0,5,0,3,3,7,0,3,0,27,0,0,3,0,0,3,3,0,0,14,9,27,15,16,35,13,7,9,0,133,0,27,14,13,17,16,7,9,0,106,0,0,0,3,3,6,3,0,0,16,0,0,0,3,5,7,0,3,0,11,0,0,3,0,6,3,0,3,0,15,0,3,0,0,8,11,4,0,0,26,0,3,6,8,19,16,10,8,0,73,0,4,7,5,11,4,0,3,0,41,21,6,19,24,97,75,39,29,3,312,4,16,10,10,21,26,8,16,0,111,14,24,24,39,59,36,16,16,5,231,0,3,0,0,3,0,0,0,0,15,0,3,3,3,8,5,4,5,0,33
101021011,176,286,172,247,776,1084,634,1085,80,4541,0,17,3,14,5,12,0,20,0,75,0,0,3,0,0,0,0,0,0,4,0,22,9,7,9,9,3,3,0,71,0,0,0,7,7,3,3,0,0,26,7,16,20,22,12,31,3,10,0,122,0,3,8,3,4,9,7,8,0,44,13,81,47,41,53,26,14,19,3,308,6,83,23,25,9,21,5,16,6,193,3,9,15,11,15,18,7,9,0,84,3,5,3,11,0,12,7,5,0,53,5,9,6,8,20,16,11,6,0,77,5,7,5,5,18,25,3,11,0,83,13,29,38,52,59,58,22,34,0,313,3,24,10,16,32,12,8,5,0,109,88,30,79,139,355,257,139,129,10,1226,45,67,55,68,85,83,48,58,6,506,42,54,68,116,137,100,53,44,0,615,3,22,17,8,14,6,6,9,0,79,8,23,18,26,25,17,12,10,5,148
101021012,106,262,131,159,684,880,530,843,40,3641,0,0,0,3,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,3,17,5,4,10,9,5,3,3,63,0,0,0,0,7,0,4,0,0,16,3,9,3,10,10,19,11,6,0,66,0,0,4,0,12,4,0,8,0,25,14,98,58,47,43,23,20,10,3,317,9,69,31,24,8,10,6,10,0,185,3,6,3,11,13,6,3,4,0,50,0,6,4,0,9,10,3,3,0,37,3,3,3,10,15,10,6,11,0,61,0,3,5,9,10,19,6,10,0,57,11,17,18,44,46,43,23,31,0,227,3,19,9,10,12,25,3,4,0,91,80,21,74,115,294,278,141,124,9,1135,9,56,55,58,65,50,37,62,5,411,15,47,65,83,107,81,37,32,0,477,3,9,3,6,5,3,4,4,0,46,3,17,19,21,29,32,16,10,0,138
101031013,20,38,31,30,85,87,88,202,14,591,3,14,8,11,4,3,9,22,3,72,0,0,0,0,0,0,0,0,0,0,3,7,4,0,9,3,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,3,0,4,3,13,18,11,12,6,3,5,0,59,0,15,6,8,3,4,0,4,0,39,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,3,3,0,21,0,3,4,3,0,6,0,0,0,22,0,9,7,0,11,4,0,0,0,33,3,5,11,12,3,7,7,9,0,62,0,9,15,22,13,14,4,12,0,85,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,12
101031014,54,120,96,124,310,287,144,304,36,1476,0,4,0,3,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0,0,0,6,9,7,5,0,3,7,0,33,3,0,0,7,17,9,3,3,0,43,0,3,3,3,0,0,3,0,0,12,0,3,0,0,4,0,3,4,0,17,12,44,34,41,52,19,16,10,3,226,3,57,37,31,15,11,12,26,3,188,0,3,0,3,3,0,3,0,0,17,0,0,0,0,3,0,0,0,0,7,3,0,3,3,9,9,3,0,0,28,0,0,4,7,4,0,0,6,0,21,3,3,5,5,27,11,0,5,0,63,0,23,8,9,6,6,0,0,0,57,6,10,3,16,59,18,10,10,0,125,9,26,19,39,31,18,14,28,3,183,15,25,49,71,52,32,18,21,4,288,0,6,0,3,3,3,0,0,0,17,0,13,5,4,3,3,0,3,0,35
101031015,29,61,45,58,131,182,70,243,16,831,0,14,14,7,3,17,3,30,4,89,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,18,0,0,0,0,4,0,0,0,0,12,4,4,0,0,0,3,0,0,0,14,0,3,0,0,3,0,0,0,0,15,0,10,14,17,18,8,3,12,0,91,3,24,13,5,3,7,3,9,0,74,0,3,3,0,3,3,0,0,0,12,0,0,0,6,0,3,0,0,0,10,0,0,0,3,3,3,0,0,0,11,4,3,0,0,9,0,0,0,0,12,0,9,8,10,5,3,0,7,0,34,0,9,5,3,0,4,0,3,0,29,0,3,8,6,28,17,9,13,0,80,3,18,8,17,12,11,4,13,0,89,11,13,11,21,23,9,3,9,0,99,0,0,0,0,0,0,0,0,0,9,0,3,3,3,0,0,0,3,0,18
101031016,65,132,110,189,311,344,258,632,53,2093,0,3,12,8,3,9,3,25,3,67,0,0,0,0,0,0,0,0,0,3,0,5,4,4,3,7,3,3,0,31,0,0,0,0,4,0,4,0,0,8,0,9,6,10,7,3,0,3,0,28,0,4,4,3,3,7,3,0,0,27,6,31,12,24,24,22,22,21,0,166,5,43,40,66,51,45,50,106,8,419,3,4,3,5,7,7,0,5,4,39,0,4,0,0,0,8,0,0,0,11,0,4,0,3,4,9,3,0,0,27,3,9,6,4,4,6,12,14,0,56,5,3,10,7,12,11,9,8,0,73,5,15,11,17,8,10,4,9,4,91,5,4,13,21,37,10,8,11,3,114,7,27,14,31,34,31,24,29,3,203,13,22,40,30,17,29,5,22,3,181,6,13,14,19,36,16,27,40,3,171,3,0,8,10,8,8,0,8,0,46
