SA2_MAINCODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
101021007,179,0,12,0,3,0,7,41,4,249,0,0,0,0,0,0,5,3,0,13,6,3,35,0,7,10,7,12,0,79,0,3,9,0,3,0,7,0,0,19,26,3,50,0,4,3,38,30,3,154,10,0,0,0,3,7,4,3,0,32,19,3,7,0,4,66,0,0,0,103,18,0,14,24,0,5,0,19,4,90,7,3,3,0,10,0,24,0,0,60,0,10,4,0,0,0,0,0,0,12,11,4,0,0,9,0,0,0,0,27,0,0,0,0,3,16,0,0,0,22,7,58,8,0,21,0,0,0,0,97,0,5,3,3,10,0,0,16,0,34,30,63,7,25,59,0,5,10,3,204,12,88,0,14,10,0,0,3,6,131,5,45,3,40,10,0,0,13,4,119,8,22,8,4,0,0,0,0,0,41,12,4,32,3,11,0,0,4,0,69,16,12,14,4,11,0,5,4,19,93
101021008,7,0,3,0,6,0,0,4,0,12,0,0,0,0,0,0,3,0,0,7,24,8,75,3,20,9,22,17,0,183,0,3,18,0,13,0,16,3,3,55,40,9,261,0,35,5,48,88,3,488,8,4,7,0,18,20,19,4,0,91,41,5,28,3,27,222,13,37,0,382,31,0,22,61,7,36,4,47,0,213,9,8,8,0,47,9,78,9,4,167,6,11,10,0,13,0,3,0,0,45,6,6,0,0,16,3,0,0,0,37,6,4,3,0,15,25,3,3,0,68,24,91,29,0,57,3,3,0,3,218,16,7,14,8,10,0,6,102,0,167,160,211,37,94,381,4,10,14,29,937,23,100,19,62,54,0,0,3,0,266,22,97,18,200,72,8,6,21,8,438,6,13,4,13,8,0,0,5,0,49,10,7,87,11,24,7,5,17,0,169,11,9,34,10,17,13,30,23,40,183
101021009,7,0,0,0,3,0,0,3,0,12,0,0,0,0,0,0,5,0,0,9,27,12,96,0,17,11,33,41,3,242,3,13,9,0,15,0,13,8,0,70,49,18,242,0,50,4,51,109,5,520,6,10,8,0,18,23,18,5,3,91,78,6,32,5,25,341,17,44,3,557,71,3,66,96,21,47,7,65,0,377,16,8,13,8,51,10,99,8,5,221,12,29,20,0,25,3,4,0,0,99,6,16,3,0,39,4,0,0,0,71,9,3,3,3,12,34,0,3,3,69,29,154,32,4,87,5,3,4,3,322,7,7,17,14,29,0,0,111,0,190,203,349,56,146,413,3,14,11,47,1250,21,199,8,65,46,0,0,9,5,353,25,172,14,315,87,6,3,31,3,666,12,18,3,22,12,3,0,5,0,79,15,11,92,14,17,3,6,28,3,188,13,16,41,15,23,16,22,34,57,244
101021010,3,0,5,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,6,13,4,36,0,10,6,20,12,0,101,0,3,4,0,9,0,6,0,0,19,14,7,114,0,24,5,23,55,0,244,14,6,0,0,15,11,10,3,0,51,41,11,14,8,14,145,17,15,3,268,21,0,30,60,5,23,10,40,3,192,11,9,6,3,17,5,60,4,0,117,6,9,11,3,12,0,0,0,0,41,8,12,0,0,15,0,0,0,3,36,6,0,4,0,7,29,0,5,0,47,19,80,17,0,39,3,0,4,0,161,8,3,10,4,8,0,3,51,0,84,115,165,28,71,196,0,4,3,12,598,21,92,11,22,24,0,0,6,0,172,16,97,16,105,40,5,0,13,0,291,6,5,3,5,3,0,0,0,0,26,7,7,47,3,16,0,0,14,3,99,4,7,14,5,16,11,6,11,23,90
101021011,155,5,16,0,9,0,5,46,9,237,3,0,5,0,0,0,10,3,0,26,61,20,102,7,25,26,17,19,3,279,11,14,20,0,18,0,13,9,0,90,143,20,500,0,94,10,100,127,11,1000,35,11,21,3,22,24,15,5,0,132,105,12,33,10,38,297,8,26,5,543,63,7,37,113,18,39,4,73,3,355,50,20,20,6,68,16,114,3,3,303,31,37,25,0,20,5,3,0,0,126,22,35,0,0,52,3,0,0,3,118,26,7,3,0,31,62,3,3,0,132,121,357,70,0,142,8,0,10,10,720,34,29,32,10,36,5,6,57,0,215,598,540,70,233,706,12,22,22,88,2278,67,418,24,107,74,0,0,15,7,698,74,320,17,193,125,4,8,12,5,756,22,37,13,28,19,8,0,9,3,134,43,25,156,29,45,3,3,17,5,330,53,39,54,14,58,24,13,32,52,341
101021012,7,0,3,0,3,0,4,0,0,19,0,0,3,0,5,0,8,0,0,16,42,11,56,0,30,35,12,23,3,205,13,8,19,0,10,0,8,0,0,63,105,17,303,0,57,6,47,88,7,627,13,10,9,0,24,35,15,6,0,112,89,17,26,11,30,350,8,44,4,583,72,3,27,125,13,52,4,59,4,356,27,23,12,4,45,10,58,6,0,181,25,28,9,0,18,3,3,0,0,96,12,32,0,0,43,6,0,0,0,93,25,12,3,0,29,42,0,3,0,115,88,230,44,0,111,8,0,8,9,501,12,17,22,13,30,0,4,66,0,167,689,566,83,204,684,8,13,6,73,2319,51,299,13,89,73,0,0,7,0,533,40,207,13,182,121,3,0,11,3,591,11,13,14,31,11,3,0,5,0,95,33,12,106,36,40,13,4,7,0,247,30,24,30,11,32,11,10,15,41,204
101031013,163,9,32,0,12,0,35,55,6,316,0,0,0,0,0,0,0,0,0,3,13,7,22,0,4,5,29,27,0,107,0,0,3,0,0,0,3,0,0,9,5,0,12,0,0,0,23,15,0,55,0,3,0,0,3,9,0,0,0,17,22,0,12,0,7,42,0,4,0,78,11,0,11,26,0,0,0,9,0,60,3,0,3,0,8,0,19,4,3,34,0,7,0,0,0,0,0,0,0,7,3,0,0,0,4,0,0,0,0,9,0,0,0,0,3,0,0,0,0,5,0,8,3,0,20,0,0,0,3,34,0,0,4,4,6,0,0,9,0,23,13,10,10,5,13,0,9,10,0,72,3,40,0,16,9,0,0,4,0,73,0,25,5,42,7,0,0,8,3,94,3,0,0,0,0,0,0,3,0,5,0,0,20,0,3,0,3,4,0,31,3,0,4,0,3,0,9,3,10,36
101031014,36,0,16,0,0,0,4,34,0,96,0,0,0,0,0,0,5,0,0,12,13,3,28,3,9,5,6,45,7,109,32,50,28,0,31,3,8,3,3,156,27,3,119,0,12,0,35,28,0,237,8,3,3,0,7,23,9,4,0,64,68,14,30,0,22,201,19,30,0,389,51,3,35,96,8,38,3,63,0,295,13,0,0,0,30,3,59,5,0,111,3,5,10,0,4,5,0,0,0,31,6,6,0,0,24,3,0,0,0,33,3,5,3,0,5,30,0,0,0,58,3,42,13,4,41,0,0,3,0,113,3,5,8,7,12,0,0,47,0,94,32,35,10,78,85,0,21,29,10,297,15,120,3,60,16,6,3,10,0,240,11,143,8,117,39,0,0,17,3,345,5,8,3,5,0,0,3,3,0,23,4,12,64,6,15,0,0,4,0,107,13,4,12,3,7,5,15,14,23,96
101031015,238,0,19,0,8,0,3,51,0,329,3,0,0,0,0,0,10,0,0,12,7,4,13,0,0,4,0,9,0,45,18,8,6,0,4,0,4,3,0,49,9,0,59,3,12,0,22,22,0,127,3,6,0,0,0,9,10,0,0,30,28,0,12,0,11,60,4,9,3,141,24,0,8,26,4,5,0,29,0,107,7,0,3,0,10,0,22,0,0,51,0,4,5,0,0,0,0,0,0,18,3,3,0,0,6,0,0,0,0,9,5,0,3,0,3,15,0,0,0,20,7,34,4,0,17,0,0,3,0,69,3,0,7,5,8,0,0,18,0,42,39,27,5,30,47,0,4,17,3,171,8,61,4,22,23,0,0,12,0,119,7,44,5,35,17,0,0,9,0,113,4,3,0,7,0,0,0,0,0,14,3,3,27,3,13,0,0,0,0,50,13,4,15,3,3,0,3,11,17,60
101031016,144,3,12,0,6,3,3,27,11,203,0,3,6,0,3,0,4,3,0,21,16,3,19,3,11,9,4,13,0,86,16,18,41,0,8,0,10,4,0,95,46,0,143,0,24,0,26,29,3,265,17,3,8,0,5,16,8,3,0,63,46,11,18,0,17,153,3,19,0,266,238,8,110,182,46,66,28,178,13,873,11,4,8,6,19,10,39,3,0,110,3,14,3,0,3,8,0,0,0,36,4,11,0,0,14,3,0,0,0,35,18,0,14,0,7,77,0,4,0,122,14,64,13,0,37,3,0,0,0,140,15,4,15,18,11,3,5,81,0,157,21,52,17,54,67,3,11,11,4,248,33,139,5,71,21,3,0,6,0,285,7,100,7,68,27,3,0,3,0,211,71,42,72,95,43,26,49,38,5,448,3,3,55,18,8,0,3,27,0,117,16,4,25,6,13,14,12,16,28,127
